Group 1,Group 2,H,p-value,q-value
DNA55 (n=96),DNA56 (n=96),2.720375917530191,0.0990746796655614,0.1486120194983421
DNA55 (n=96),DNA57 (n=93),6.573967176004544,0.010348103416207455,0.016716167056950504
DNA55 (n=96),DNA58 (n=63),0.9652901785714221,0.3258576103338932,0.4276881135632349
DNA55 (n=96),DNA59 (n=55),89.5306369617224,3.0192645251204244e-21,3.170227751376446e-20
DNA55 (n=96),DNA60 (n=55),91.73936901913873,9.887804623737533e-22,2.0764389709848822e-20
DNA55 (n=96),DNA61 (n=20),42.69423076923073,6.400077062706011e-11,1.4933513146314027e-10
DNA56 (n=96),DNA57 (n=93),0.7518109790605649,0.38590346911924756,0.4767042853825999
DNA56 (n=96),DNA58 (n=63),0.239595734126965,0.6244982494282318,0.7267713682569089
DNA56 (n=96),DNA59 (n=55),85.40819377990431,2.4271277010560565e-20,1.2742420430544298e-19
DNA56 (n=96),DNA60 (n=55),86.69952153110046,1.2632737269468893e-20,8.842916088628226e-20
DNA56 (n=96),DNA61 (n=20),41.273557692307634,1.3234716005871109e-10,2.779290361232933e-10
DNA57 (n=93),DNA58 (n=63),1.9286382863535323,0.16490750022528772,0.2308705003154028
DNA57 (n=93),DNA59 (n=55),80.17150111200772,3.432828259252765e-19,1.2014898907384679e-18
DNA57 (n=93),DNA60 (n=55),83.32854809187347,6.948880354513679e-20,2.9185297488957453e-19
DNA57 (n=93),DNA61 (n=20),38.61211092246748,5.169714136650743e-10,9.046999739138801e-10
DNA58 (n=63),DNA59 (n=55),73.06603368620176,1.25383863656898e-17,3.291326420993573e-17
DNA58 (n=63),DNA60 (n=55),74.54909963985591,5.914873780640991e-18,1.7744621341922975e-17
DNA58 (n=63),DNA61 (n=20),38.80102040816331,4.692824739795583e-10,8.959029048700657e-10
DNA59 (n=55),DNA60 (n=55),0.018092472637931678,0.8930006780591826,0.9236422730909143
DNA59 (n=55),DNA61 (n=20),0.009186602870812521,0.9236422730909143,0.9236422730909143
DNA60 (n=55),DNA61 (n=20),0.19650717703348164,0.6575550474705366,0.7267713682569089
